1 9
106 8
1067 4
1090 4
110 11
1164 4
117 9
118 0
119 2
120 4
1204 0
1209 0
122 3
1238 4
1245 6
1260 7
131 4
1323 6
134 4
1342 4
1362 6
1392 6
14 7
141 4
1414 9
147 6
1485 5
1492 0
15 4
156 4
158 4
159 4
160 4
162 4
164 11
165 4
172 5
173 11
178 4
18 10
181 7
183 4
184 5
193 4
197 9
198 2
20 0
200 9
205 4
210 5
211 3
213 2
215 6
219 3
220 0
222 5
232 10
236 4
242 4
245 8
246 3
248 5
250 4
252 5
253 2
257 3
259 4
261 4
267 2
269 5
27 6
270 2
272 10
275 5
285 3
290 1
295 4
3 4
322 5
333 4
339 3
34 4
343 2
346 6
353 4
366 2
372 4
374 5
378 0
38 5
387 6
39 3
401 6
407 3
413 9
420 2
424 5
425 4
426 6
428 2
429 6
43 3
432 9
434 4
435 8
440 8
441 7
445 2
447 4
453 4
460 4
461 9
464 4
465 5
466 3
468 3
47 2
475 9
477 5
478 2
486 5
487 6
488 6
489 4
491 4
496 9
498 4
502 1
504 5
510 5
513 5
520 2
525 2
527 5
531 10
533 3
54 4
544 7
55 11
574 4
577 5
580 6
582 6
59 3
603 6
615 4
62 4
621 10
626 9
628 11
63 3
634 5
637 3
638 5
642 4
649 6
650 10
653 9
656 0
660 2
674 5
677 4
691 2
694 4
702 3
706 3
71 6
72 3
720 0
725 6
74 4
741 0
743 5
744 10
751 4
753 3
763 4
77 6
771 5
778 7
779 6
784 3
79 4
790 3
793 3
797 10
80 3
809 3
836 2
845 10
854 5
859 4
866 3
867 5
871 3
874 9
880 4
882 5
884 4
886 0
889 3
89 0
893 5
894 3
908 5
909 4
921 5
923 3
939 3
954 6
959 4
97 0
970 11
977 9
985 11
99 4
998 7
